#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
4.390449,3,1,0,674
4.235656,4,1,0,666
5.312573,3,1,0,711
2.154476,3,1,0,564
6.123292,3,1,0,990
4.489947,4,1,0,1375
6.386549,5,1,0,1499
3.676421,3,1,0,945
3.487574,3,1,0,602
2.336440,3,1,0,648
6.797069,4,1,0,830
8.694818,5,1,0,1330
6.019687,6,1,0,1747
8.139053,7,1,0,2274
9.515043,8,1,0,2784
11.926171,9,1,0,3250
12.649601,10,1,0,3439
13.531081,0,0,0,0
14.981825,0,0,0,0
16.351051,0,0,0,0
18.085779,0,0,0,0
19.252103,0,0,0,0
21.625055,0,0,0,0
23.336486,0,0,0,0
25.434062,0,0,0,0
27.633542,0,0,0,0
33.307037,0,0,0,0
4.721500,3,1,0,1171
7.825054,4,1,0,1006
3.461286,5,1,0,1037
5.747879,6,1,0,1142
5.530118,7,1,0,1212
4.085829,3,1,0,1352
7.295940,4,1,0,1561
5.409429,5,1,0,1629
5.543926,3,1,0,1088
4.276396,4,1,0,1304
4.730898,5,1,0,1443
6.963900,6,1,0,1697
8.053639,7,1,0,1964
7.783644,8,1,0,2106
7.290636,9,1,0,2130
7.706790,10,1,0,2228
4.527453,3,1,0,832
2.989593,3,1,0,759
2.446602,4,1,0,624
6.710414,3,1,0,688
4.959669,3,1,0,892
5.842447,4,1,0,929
7.376396,5,1,0,1240
5.800472,6,1,0,1509
2.749247,3,1,0,697
2.968495,4,1,0,808
5.540933,5,1,0,1068
4.632480,6,1,0,1214
2.402026,3,1,0,592
4.146231,4,1,0,731
3.364679,5,1,0,910
5.064477,6,1,0,1146
5.527606,7,1,0,1397
7.986943,8,1,0,1616
5.978610,9,1,0,1865
6.514952,10,1,0,2050
10.028146,0,0,0,0
10.225298,0,0,0,0
14.572568,0,0,0,0
25.325542,0,0,0,0
16.783050,0,0,0,0
14.202450,0,0,0,0
15.473543,0,0,0,0
16.890263,0,0,0,0
18.173126,0,0,0,0
19.800654,0,0,0,0
29.383010,0,0,0,0
4.219734,3,1,0,1260
5.069796,4,1,0,1531
5.245591,5,1,0,1534
3.395711,3,1,0,990
9.724760,4,1,0,1167
5.428978,5,1,0,1439
8.991153,6,1,0,1731
6.546452,7,1,0,2216
9.728768,8,1,0,2476
