#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
5.194013,3,1,0,682
2.129932,4,1,0,669
4.074235,3,1,0,708
3.976541,4,1,0,1202
8.286379,5,1,0,1384
4.149847,6,1,0,1190
3.278551,3,1,0,962
4.715258,3,1,0,598
5.646927,3,1,0,858
3.765469,4,1,0,1125
5.946991,5,1,0,1624
6.902669,6,1,0,2199
8.726190,7,1,0,2654
9.772213,8,1,0,3177
15.864910,9,1,0,3613
18.563192,10,1,0,3597
13.873319,0,0,0,0
15.062466,0,0,0,0
20.793185,0,0,0,0
17.872019,0,0,0,0
19.620419,0,0,0,0
21.372536,0,0,0,0
23.164942,0,0,0,0
25.652431,0,0,0,0
29.274206,0,0,0,0
30.902419,0,0,0,0
33.919019,0,0,0,0
35.025256,0,0,0,0
36.561577,0,0,0,0
35.621403,0,0,0,0
45.042577,0,0,0,0
39.515961,0,0,0,0
41.335769,0,0,0,0
43.149090,0,0,0,0
39.129265,0,0,0,0
39.248195,0,0,0,0
38.633481,0,0,0,0
41.569787,0,0,0,0
41.346020,0,0,0,0
44.254631,0,0,0,0
4.390856,3,1,0,1127
3.714364,4,1,0,1086
3.872374,5,1,0,1141
11.071387,6,1,0,1337
5.464957,7,1,0,1548
5.834109,8,1,0,1687
7.035770,9,1,0,2054
7.652417,10,1,0,2267
9.643023,0,0,0,0
11.520386,0,0,0,0
12.702804,0,0,0,0
13.624189,0,0,0,0
15.027337,0,0,0,0
16.141945,0,0,0,0
25.553133,0,0,0,0
24.457170,0,0,0,0
20.905856,0,0,0,0
22.417873,0,0,0,0
24.026745,0,0,0,0
31.755885,0,0,0,0
27.123852,0,0,0,0
29.327456,0,0,0,0
30.943272,0,0,0,0
30.337079,0,0,0,0
34.227478,0,0,0,0
32.640772,0,0,0,0
33.304801,0,0,0,0
34.183521,0,0,0,0
35.136464,0,0,0,0
33.785701,0,0,0,0
34.882746,0,0,0,0
35.411300,0,0,0,0
36.507850,0,0,0,0
38.456554,0,0,0,0
35.917595,0,0,0,0
37.095557,0,0,0,0
36.575125,0,0,0,0
37.921488,0,0,0,0
37.878221,0,0,0,0
39.357329,0,0,0,0
36.988829,0,0,0,0
39.060376,0,0,0,0
37.974606,0,0,0,0
38.105902,0,0,0,0
38.874729,0,0,0,0
37.995258,0,0,0,0
41.495388,0,0,0,0
39.531168,0,0,0,0
41.242440,0,0,0,0
40.545188,0,0,0,0
41.668693,0,0,0,0
40.165919,0,0,0,0
44.709831,0,0,0,0
41.148469,0,0,0,0
42.866879,0,0,0,0
42.253648,0,0,0,0
42.621182,0,0,0,0
43.160241,0,0,0,0
46.134118,0,0,0,0
45.199033,0,0,0,0
46.027031,0,0,0,0
44.902205,0,0,0,0
45.854792,0,0,0,0
45.522200,0,0,0,0
45.822896,0,0,0,0
45.781588,0,0,0,0
46.770984,0,0,0,0
46.753314,0,0,0,0
46.919281,0,0,0,0
46.035540,0,0,0,0
46.250759,0,0,0,0
46.769696,0,0,0,0
47.396343,0,0,0,0
48.374648,0,0,0,0
46.242762,0,0,0,0
46.188244,0,0,0,0
46.187312,0,0,0,0
46.507287,0,0,0,0
45.913926,0,0,0,0
44.769271,0,0,0,0
44.682587,0,0,0,0
43.622471,0,0,0,0
45.574107,0,0,0,0
3.078354,3,1,0,596
3.450968,3,1,0,837
2.836674,4,1,0,742
7.607016,5,1,0,939
3.946667,6,1,0,1020
5.283712,3,1,0,1039
6.066114,4,1,0,1276
7.638980,5,1,0,1578
8.006207,6,1,0,1897
9.983827,7,1,0,2285
11.799290,8,1,0,2648
10.890013,9,1,0,3011
13.981127,10,1,0,3413
13.333891,0,0,0,0
15.157399,0,0,0,0
16.447167,0,0,0,0
18.168965,0,0,0,0
19.890868,0,0,0,0
29.597985,0,0,0,0
25.030791,0,0,0,0
25.864888,0,0,0,0
27.546196,0,0,0,0
29.392125,0,0,0,0
31.744309,0,0,0,0
33.955156,0,0,0,0
33.489777,0,0,0,0
32.568967,0,0,0,0
31.914205,0,0,0,0
31.314470,0,0,0,0
30.848038,0,0,0,0
31.740340,0,0,0,0
30.081739,0,0,0,0
