#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
3.718305,3,1,0,724
3.687545,4,1,0,675
5.156876,3,1,0,732
2.666004,4,1,0,902
3.342847,3,1,0,604
2.756863,3,1,0,902
3.900929,4,1,0,1234
4.318442,5,1,0,1432
4.230680,6,1,0,1300
2.620007,3,1,0,452
5.816238,4,1,0,852
4.106495,5,1,0,1321
4.519641,6,1,0,1414
5.230210,7,1,0,1604
3.927275,3,1,0,923
4.527349,4,1,0,1425
6.100145,5,1,0,2021
9.769407,6,1,0,2719
10.824124,7,1,0,3156
9.849285,8,1,0,3227
15.908995,9,1,0,3298
14.540595,10,1,0,3503
13.136330,0,0,0,0
13.533256,0,0,0,0
16.182234,0,0,0,0
22.303428,0,0,0,0
20.202853,0,0,0,0
22.661369,0,0,0,0
25.167283,0,0,0,0
27.398097,0,0,0,0
52.531524,0,0,0,0
68.232712,0,0,0,0
32.534156,0,0,0,0
33.653137,0,0,0,0
32.122559,0,0,0,0
32.650438,0,0,0,0
34.396399,0,0,0,0
30.207256,0,0,0,0
32.390395,0,0,0,0
34.618898,0,0,0,0
36.981579,0,0,0,0
38.268508,0,0,0,0
40.195924,0,0,0,0
40.486701,0,0,0,0
38.850057,0,0,0,0
38.976268,0,0,0,0
38.623347,0,0,0,0
38.127047,0,0,0,0
40.330631,0,0,0,0
41.094070,0,0,0,0
43.261761,0,0,0,0
52.229849,0,0,0,0
38.750206,0,0,0,0
39.683381,0,0,0,0
40.614410,0,0,0,0
43.802067,0,0,0,0
42.816701,0,0,0,0
56.464985,0,0,0,0
41.278224,0,0,0,0
40.321238,0,0,0,0
40.399427,0,0,0,0
39.501144,0,0,0,0
41.619597,0,0,0,0
41.565186,0,0,0,0
40.683516,0,0,0,0
40.028686,0,0,0,0
41.375726,0,0,0,0
58.716335,0,0,0,0
41.979564,0,0,0,0
43.849375,0,0,0,0
43.720697,0,0,0,0
41.750125,0,0,0,0
47.137156,0,0,0,0
41.588607,0,0,0,0
40.426574,0,0,0,0
39.906898,0,0,0,0
41.196687,0,0,0,0
40.792151,0,0,0,0
