#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
4.198185,3,1,0,700
1.975807,4,1,0,670
2.540049,3,1,0,725
3.934389,4,1,0,1179
5.891207,5,1,0,1398
4.769607,3,1,0,1118
4.105037,3,1,0,740
4.986888,4,1,0,1245
6.936814,3,1,0,1317
1.441171,3,1,0,370
4.540124,3,1,0,791
3.455329,4,1,0,960
8.300437,5,1,0,1103
4.967337,6,1,0,1485
7.206582,7,1,0,1849
9.360353,8,1,0,2393
10.297147,9,1,0,2852
11.633321,10,1,0,3327
13.370682,0,0,0,0
14.692699,0,0,0,0
21.207292,0,0,0,0
18.398306,0,0,0,0
20.086737,0,0,0,0
24.180122,0,0,0,0
22.566466,0,0,0,0
27.230205,0,0,0,0
26.006739,0,0,0,0
30.181986,0,0,0,0
39.836314,0,0,0,0
33.980097,0,0,0,0
36.549884,0,0,0,0
31.603859,0,0,0,0
34.924705,0,0,0,0
34.742808,0,0,0,0
36.518973,0,0,0,0
36.821264,0,0,0,0
37.340212,0,0,0,0
36.039884,0,0,0,0
37.115606,0,0,0,0
34.546433,0,0,0,0
34.051042,0,0,0,0
35.978830,0,0,0,0
35.537165,0,0,0,0
37.610594,0,0,0,0
37.881264,0,0,0,0
40.240347,0,0,0,0
38.174151,0,0,0,0
38.737124,0,0,0,0
39.268180,0,0,0,0
41.178522,0,0,0,0
42.350471,0,0,0,0
40.254747,0,0,0,0
41.222916,0,0,0,0
42.064343,0,0,0,0
41.627669,0,0,0,0
42.213974,0,0,0,0
42.011843,0,0,0,0
44.926584,0,0,0,0
43.032892,0,0,0,0
42.389047,0,0,0,0
44.139594,0,0,0,0
43.721919,0,0,0,0
59.931490,0,0,0,0
43.044423,0,0,0,0
42.448703,0,0,0,0
42.600207,0,0,0,0
41.896572,0,0,0,0
42.242820,0,0,0,0
40.962636,0,0,0,0
41.533438,0,0,0,0
41.346549,0,0,0,0
43.457091,0,0,0,0
43.828337,0,0,0,0
42.792979,0,0,0,0
42.977797,0,0,0,0
41.226395,0,0,0,0
42.450424,0,0,0,0
47.471003,0,0,0,0
42.154557,0,0,0,0
42.575561,0,0,0,0
42.409943,0,0,0,0
43.921086,0,0,0,0
42.210209,0,0,0,0
43.935367,0,0,0,0
40.979414,0,0,0,0
42.996694,0,0,0,0
41.565889,0,0,0,0
40.530884,0,0,0,0
40.224350,0,0,0,0
40.257609,0,0,0,0
40.650258,0,0,0,0
41.775305,0,0,0,0
41.081557,0,0,0,0
42.785397,0,0,0,0
41.052384,0,0,0,0
40.832647,0,0,0,0
41.994192,0,0,0,0
41.429840,0,0,0,0
43.056175,0,0,0,0
42.260657,0,0,0,0
42.006982,0,0,0,0
41.567618,0,0,0,0
42.177342,0,0,0,0
40.898014,0,0,0,0
41.738182,0,0,0,0
41.386789,0,0,0,0
41.652076,0,0,0,0
41.976719,0,0,0,0
44.272889,0,0,0,0
43.604398,0,0,0,0
42.594229,0,0,0,0
44.490820,0,0,0,0
44.567002,0,0,0,0
44.550817,0,0,0,0
44.114660,0,0,0,0
44.820755,0,0,0,0
46.352717,0,0,0,0
44.519571,0,0,0,0
46.556023,0,0,0,0
48.431545,0,0,0,0
46.735415,0,0,0,0
47.113101,0,0,0,0
48.579501,0,0,0,0
47.911159,0,0,0,0
61.449429,0,0,0,0
46.820799,0,0,0,0
47.442415,0,0,0,0
49.628948,0,0,0,0
47.351068,0,0,0,0
46.833594,0,0,0,0
46.660153,0,0,0,0
46.953596,0,0,0,0
45.582468,0,0,0,0
52.645538,0,0,0,0
44.520857,0,0,0,0
52.052690,0,0,0,0
44.542482,0,0,0,0
56.858842,0,0,0,0
43.905764,0,0,0,0
52.002106,0,0,0,0
43.720686,0,0,0,0
43.519622,0,0,0,0
44.707237,0,0,0,0
43.085086,0,0,0,0
43.816380,0,0,0,0
45.480392,0,0,0,0
43.723789,0,0,0,0
44.746417,0,0,0,0
44.525808,0,0,0,0
47.952388,0,0,0,0
46.668756,0,0,0,0
43.986749,0,0,0,0
44.017732,0,0,0,0
45.702391,0,0,0,0
44.008285,0,0,0,0
43.482623,0,0,0,0
46.011738,0,0,0,0
44.112291,0,0,0,0
44.650574,0,0,0,0
46.235720,0,0,0,0
48.756129,0,0,0,0
44.510953,0,0,0,0
42.759127,0,0,0,0
43.287379,0,0,0,0
44.628934,0,0,0,0
43.970073,0,0,0,0
59.084689,0,0,0,0
45.128883,0,0,0,0
44.963101,0,0,0,0
44.892689,0,0,0,0
49.459930,0,0,0,0
45.969676,0,0,0,0
42.054947,0,0,0,0
43.759472,0,0,0,0
43.416264,0,0,0,0
43.598723,0,0,0,0
43.979327,0,0,0,0
43.169352,0,0,0,0
43.238708,0,0,0,0
46.135121,0,0,0,0
43.224796,0,0,0,0
46.114737,0,0,0,0
45.139243,0,0,0,0
42.458413,0,0,0,0
46.169126,0,0,0,0
43.243271,0,0,0,0
46.405165,0,0,0,0
45.332754,0,0,0,0
41.224637,0,0,0,0
43.022385,0,0,0,0
42.922944,0,0,0,0
44.044673,0,0,0,0
44.646502,0,0,0,0
41.089494,0,0,0,0
41.775110,0,0,0,0
42.945533,0,0,0,0
42.906583,0,0,0,0
63.852636,0,0,0,0
40.760062,0,0,0,0
61.658811,0,0,0,0
42.093913,0,0,0,0
43.665638,0,0,0,0
47.901822,0,0,0,0
44.525476,0,0,0,0
42.186071,0,0,0,0
45.556804,0,0,0,0
42.823606,0,0,0,0
43.305405,0,0,0,0
45.963875,0,0,0,0
44.012176,0,0,0,0
41.316272,0,0,0,0
41.630695,0,0,0,0
41.944617,0,0,0,0
43.391916,0,0,0,0
41.215553,0,0,0,0
42.975640,0,0,0,0
41.954169,0,0,0,0
41.925673,0,0,0,0
40.895894,0,0,0,0
40.132451,0,0,0,0
39.437060,0,0,0,0
41.378201,0,0,0,0
41.833861,0,0,0,0
42.720229,0,0,0,0
42.060388,0,0,0,0
44.711078,0,0,0,0
40.749392,0,0,0,0
45.961999,0,0,0,0
41.489225,0,0,0,0
44.970469,0,0,0,0
41.345714,0,0,0,0
43.207593,0,0,0,0
43.370835,0,0,0,0
43.015903,0,0,0,0
47.834409,0,0,0,0
46.171842,0,0,0,0
44.533446,0,0,0,0
45.211359,0,0,0,0
46.353798,0,0,0,0
51.495900,0,0,0,0
45.750435,0,0,0,0
45.925846,0,0,0,0
54.758867,0,0,0,0
45.884175,0,0,0,0
53.134765,0,0,0,0
50.308198,0,0,0,0
49.290238,0,0,0,0
47.609829,0,0,0,0
55.403782,0,0,0,0
47.529169,0,0,0,0
45.386237,0,0,0,0
46.605114,0,0,0,0
47.857758,0,0,0,0
47.473267,0,0,0,0
49.088712,0,0,0,0
44.956480,0,0,0,0
50.947601,0,0,0,0
53.080245,0,0,0,0
48.261657,0,0,0,0
20.111200,0,0,0,0
44.235836,0,0,0,0
44.896599,0,0,0,0
44.618633,0,0,0,0
42.713598,0,0,0,0
44.235566,0,0,0,0
48.465223,0,0,0,0
47.211121,0,0,0,0
43.622432,0,0,0,0
46.146048,0,0,0,0
44.409847,0,0,0,0
44.002316,0,0,0,0
43.437153,0,0,0,0
43.523411,0,0,0,0
43.979279,0,0,0,0
45.280414,0,0,0,0
45.980600,0,0,0,0
46.047754,0,0,0,0
46.642838,0,0,0,0
46.888830,0,0,0,0
47.565738,0,0,0,0
45.926574,0,0,0,0
46.093177,0,0,0,0
46.799028,0,0,0,0
46.989470,0,0,0,0
48.448748,0,0,0,0
48.482361,0,0,0,0
53.239531,0,0,0,0
53.247306,0,0,0,0
50.908982,0,0,0,0
50.346998,0,0,0,0
50.954092,0,0,0,0
49.768813,0,0,0,0
51.563754,0,0,0,0
50.798404,0,0,0,0
50.595386,0,0,0,0
50.567336,0,0,0,0
51.985519,0,0,0,0
52.683405,0,0,0,0
52.563522,0,0,0,0
51.699412,0,0,0,0
52.809080,0,0,0,0
52.240521,0,0,0,0
51.489507,0,0,0,0
53.049124,0,0,0,0
57.294723,0,0,0,0
59.945512,0,0,0,0
59.266108,0,0,0,0
54.347241,0,0,0,0
55.267746,0,0,0,0
56.530937,0,0,0,0
57.374355,0,0,0,0
60.263541,0,0,0,0
57.927166,0,0,0,0
